"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SWim","Swim","10' aquecimento 20' zona 3 com palas","0.5","","2025-08-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Run 4x5'","Run","20' Aquecimento 4x5' Zona 3 / 2' easy pace 10' Cooldown","0.966666666666667","","2025-08-28","","15341.6904296875","","","","","1.50306510925293","2.83500003814697","","157","","157","179","","","0.863961517919994","125.68","1","3","3","66","11","5","2","","","","","","","","","","","","","","",""
"Zn1 - Regenerativo","Bike","Treino regenerativo Percurso plano Zn1 - rolar fácil","1","","2025-08-29","","24172.919921875","106","123","353.12","","0.923378646373749","7.27199983596802","","89","","","","","","0.455183931247205","18.98","","","","","","","","","","","55","0","0","0","0","0","","","","","",""
"AE1","Run","Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio","0.25","","2025-08-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike Tempo 4x8' - dia de nutrição","Bike","","3","","2025-08-30","","60772.94140625","","","","","2.12741470336914","7.93499994277954","","","","146","177","","","0.808564441153368","157.06","15","36","28","25","8","12","4","","","","","","","","","","","","","","",""
"Transição - LSD - dia de nutrição","Run","Long Slow Distance Ritmo baixa e técnica correta","1","","2025-08-30","Classic long slow distance (LSD) training. Sensation of leg effort/fatigue generally low, but may rise periodically to higher levels. Concentration generally required to maintain effort only at highest end of range and/or during longer training sessions. Breathing is more regular than at level 1, but continuous conversation still possible.","10220.330078125","","","","","1.00415110588074","2.82699990272522","","157","","155","168","","","0.864482646183795","83.12","1","1","7","46","5","1","0","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","3","","2025-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSD","Run","Long Slow Distance Ritmo baixa e técnica correta","1.5","","2025-09-01","Classic long slow distance (LSD) training. Sensation of leg effort/fatigue generally low, but may rise periodically to higher levels. Concentration generally required to maintain effort only at highest end of range and/or during longer training sessions. Breathing is more regular than at level 1, but continuous conversation still possible.","16075.650390625","","","","","1.50857698917389","2.96000003814697","","157","","164","176","","","0.902750544778475","137.63","1","1","1","22","17","48","2","","","","","","","","","","","","","","","5"
"12,5 Fast","Swim","400 snorkel + fins 400 snorkel + pull 8x25 progressivo nos 25m - saída 40"" 20x50 (12,5 fast + 37,5 easy) - 15"" descanso 200 easy","0.75","2000","2025-09-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2025-09-03","","20965.650390625","128","204","346.863","","0.750757813453674","7.75699996948242","","85","","","","","","0.620250756983471","28.62","","","","","","","","","","","35","10","0","0","0","0","","","","","",""
"Intervalado Curto 200+200","Run","20' Aquecimento 4 retas progressivas 10x(200 fast + 200 easy) NON STOP 5' Cooldown","1","","2025-09-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
