date,title,sport,description,duration_h,distance_m
2026-08-27,Tempo Run 4x5',run,20' Aquecimento 4x5' Zona 3 / 2' easy pace 10' Cooldown,0.967,
2026-08-28,Zn1 - Regenerativo,bike,Treino regenerativo Percurso plano Zn1 - rolar fácil,1.0,
2026-08-28,AE1,run,"Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio",0.25,
2026-08-29,Bike Tempo 4x8' - dia de nutrição,bike,,3.0,
2026-08-29,Transição - LSD - dia de nutrição,run,Long Slow Distance Ritmo baixa e técnica correta,1.0,
2026-08-30,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,3.0,
2026-08-30,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-08-31,LSD,run,Long Slow Distance Ritmo baixa e técnica correta,1.5,
2026-09-01,"12,5 Fast",swim,"400 snorkel + fins 400 snorkel + pull 8x25 progressivo nos 25m - saída 40"" 20x50 (12,5 fast + 37,5 easy) - 15"" descanso 200 easy",0.75,2000.0
2026-09-02,Bike tempo - 4x5',bike,20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon,1.0,
2026-09-03,Intervalado Curto 200+200,run,20' Aquecimento 4 retas progressivas 10x(200 fast + 200 easy) NON STOP 5' Cooldown,1.0,
2026-09-04,Zn1 - Regenerativo,bike,Treino regenerativo Percurso plano Zn1 - rolar fácil,1.0,
2026-09-04,AE1,run,"Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio",0.25,
2026-09-04,Strength,strength,,0.75,
2026-09-05,Bike Tempo 4x8' - dia de nutrição,bike,,3.0,
2026-09-05,Transição - LSD - dia de nutrição,run,Long Slow Distance Ritmo baixa e técnica correta,1.0,
2026-09-06,Desnível acumulado,bike,Máximo desnível acumulado com subidas em 60/70 Rpm sentado,3.0,
2026-09-06,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-09-07,LSD,run,Long Slow Distance Ritmo baixa e técnica correta,1.0,
2026-09-08,Swim #2,swim,"800 snorkel 4x50 pull saída 1' 5x100 @ 2'30 Zn2 palas, snorkel, elástico, pull 5x100 @ 1'30 with snorkel + fins 4x50 pernas (25 fast + 25 easy) 200 easy",0.75,2400.0
2026-09-09,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-09-09,Strength,strength,,0.75,
2026-09-10,Tempo run progressivo,run,15' aquecimento 1' fast + 1' easy 2' fast + 2' easy 3' fast + 3' easy 4'fast + 4' easy 5' fast + 5' easy 5' cooldown,0.833,
2026-09-11,"12,5 Fast",swim,"400 snorkel + fins 400 snorkel + pull 8x25 progressivo nos 25m - saída 40"" 20x50 (12,5 fast + 37,5 easy) - 15"" descanso 200 easy",0.75,2000.0
2026-09-12,Pre-race Run,run,"Corrida em zona2 com 3 a 4x ritmo de prova durante 30""",0.333,
2026-09-12,Cycling,bike,,1.5,
2026-09-13,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-09-14,Zn1 - Regenerativo,bike,Treino regenerativo Percurso plano Zn1 - rolar fácil,1.0,
2026-09-15,Swim - palas,swim,10' aquecimento 20' z2 com palas 5' easy,0.583,
2026-09-15,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-09-16,LSD,run,Long Slow Distance Ritmo baixa e técnica correta,1.0,
2026-09-17,2kms,swim,2kms seguidos em ritmo de prova,0.75,2000.0
2026-09-17,"Zona 2 + 30"" Maximo",bike,"20' Aquecimento 15x 9'30 Zona 3 30"" MUITO FORTES 10' easy",3.0,
2026-09-17,Surfing,other,,0.5,
2026-09-18,Tempo run progressivo,run,15' aquecimento 1' fast + 1' easy 2' fast + 2' easy 3' fast + 3' easy 4'fast + 4' easy 5' fast + 5' easy 5' cooldown,0.833,
2026-09-18,Surfing,other,,0.5,
2026-09-19,Águas abertas 1,swim,10' aquecimento 4x(5' race pace + 4' zona 2) 5' cooldown,0.85,3070.0
2026-09-19,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-09-19,Transição - 30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-09-19,Surfing,other,,0.5,
2026-09-20,Level 2,bike,"Flat course Rolar com acelarações a cada 10' (sprint de 10"")",2.167,
2026-09-20,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-09-21,LSD - 18kms,run,Correr 18kms em LSD,1.8,18000.0
2026-09-22,Swim - palas + fins,swim,"400 snorkel + fins 400 snorkel + pull 8x50 pernas com barbatanas - saída 50"" 4x100 - saída 1'45 com palas + fins 200 easy 4x100 - saída 1'45 com palas + fins 200 easy 4x100 - saída 1'45 com palas + fins 200 easy",1.0,3000.0
2026-09-23,Bike tempo - 4x5',bike,20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon,1.0,
2026-09-24,60' Easy pace,run,"60' easy pace + 4 retas 20"" . recuperação a andar na distância percorrida",1.033,
2026-09-25,Swim - 2sets - wetsuit,swim,"300 snorkel + fins 300 snorkel + pull 5x100 zona 2 - descanso 15"" 2x 300 zona 2 com palas - descanso 50"" 2x200 zona 3 com palas e fins - descanso 30"" 100 com fins - máximo 100 easy",1.0,2900.0
2026-09-25,Uphill Stride Work,run,"Warm up about 20 minutes in zones 1-2. Then run 5x20 seconds up a moderate grade (3-5%) hill at RPE 9 (very high effort). Powerful, quick strides. Use arms vigorously. After each uphill, walk down slowly taking a minute or more for recovery. Cool down with heart rate in zone 1 for the remainder of the scheduled workout time. (This is best outdoors but may be done on a treadmill).",0.5,
2026-09-26,Bike Tempo 4x10',bike,,3.133,
2026-09-26,Transição-Tempo Run 4x5',run,4x5' Zona 3 / 2' easy pace 10' Cooldown,0.633,
2026-09-27,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,3.0,
2026-09-27,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-09-28,LSD - 16kms,run,Correr 16kms em LSD,1.6,16000.0
2026-09-29,Swim,swim,"300 snorkel + fins 300 snorkel + pull 5x100 zona 2 - descanso 15"" 300 zona 2 com palas - descanso 50"" 2x200 zona 3 com palas e fins - descanso 30"" 100 com fins - máximo 100 easy",0.667,2000.0
2026-09-30,Bike tempo - 4x5',bike,20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon,1.0,
2026-09-30,AE1,run,"Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio",0.25,
2026-09-30,Strength,strength,,0.75,
2026-10-01,Tempo run progressivo,run,15' aquecimento 1' fast + 1' easy 2' fast + 2' easy 3' fast + 3' easy 4'fast + 4' easy 5' fast + 5' easy 5' cooldown,0.833,
2026-10-02,Swim - palas + fins,swim,"400 snorkel + fins 400 snorkel + pull 8x50 pernas com barbatanas - saída 50"" 4x100 - saída 1'45 com palas + fins 200 easy 4x100 - saída 1'45 com palas + fins 200 easy",0.667,2400.0
2026-10-02,Running,run,,0.75,
2026-10-03,Sweet Spot + zona 2,bike,Warm up 15' 5' @ 100% 5' Easy 2x20' @ Sweet Spot 1 (15' Intervalo) 10x1' @ Sweet Spot 2 (+105 rpm) 2' Intervalo 1h30 Zona 2 15' Cooldown,3.583,
2026-10-03,Transição - 8kms a race pace,run,Transição 1km - W-up 8kms - race pace 1km - easy,0.842,
2026-10-04,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,2.0,
2026-10-04,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-10-05,LSD - 20kms,run,Correr 20kms em LSD,2.0,20000.0
2026-10-06,Swim - VO2 - wetsuit,swim,"400snorkel + 100 estilos + 100 pernas 2X150L - 50 braço direito , 50 braço esquerdo, 50 normal 10X100L 25 mãximo 25 Zona2 25 máximo 25 zona 2 - descanso 15"" 200 easy 8X50L 25 MARIPOSA 25 crawl - com barbatanas 200 easy",0.833,2400.0
2026-10-07,Bike tempo - 4x5',bike,20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon,1.0,
2026-10-07,Strength,strength,,0.75,
2026-10-08,40' Run @Zn2 + 6 retas,run,"Corrida em Zn2, piso soft e cadência +88 Pulso @140 No final fazer 6 retas progressivas de 20""",0.667,
2026-10-09,Swim Endurance,swim,400 snorkel 200 fins (snorkel opcional) - aumento da cadência de braçada 8x50 (25 crawl FAST + 25 corrida) NON STOP 2000 Zn2 - palas (snorkel opcional) 200 easy,1.0,3000.0
2026-10-10,Sweet Spot,bike,Warm up 15' 5' @ 100% 5' Easy 2x20' @ Sweet Spot 1 (15' Intervalo) 10x1' @ Sweet Spot 2 (+105 rpm) 2' Intervalo 15' Cooldown,2.25,
2026-10-10,Transição - 8kms a race pace,run,Transição 1km - W-up 8kms - race pace 1km - easy,0.842,
2026-10-11,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-10-11,Open Water Swimming,swim,,0.75,
2026-10-11,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-10-12,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-10-13,Swim#3,swim,"400 Snorkel 4x50 progressivo @1'20 4x50 Zn5 @ 2' 4x50 pull easy 2x100 Zn4 @ 2'30 4x50 pull easy 200 Zn3 4x50 pernas com barbatanas @45"" 200 cooldown",0.667,2000.0
2026-10-14,Bike progressiva,bike,1h progressiva: 20' Aquecimento progressivo Zn2 to Zn3 no final: 20' @Zn3 + 20' com 5x2' Threshold pace / 2' RI,1.05,
2026-10-14,Transição 3x1000 Intensidade Progressiva,run,"Transição 3x1000 em ritmo progressivo ""By the feel"" 1º Tempo Pace / 1' RI 2º - Treshold Pace / 2'RI 3º - VO2 Máx Cooldown",0.417,
2026-10-15,Recovery Day,rest,"Actively focus on recovery today: 1) stay off of legs all you can 2) watch nutrition closely (healthy carbs, lean protein, and good fats) 3) strech 4) drink when thirsty",,
2026-10-16,Pre-Race Swim @Pool,swim,"200L 4x50 (25 sculling + 25 normal) 4x50 (25 punho, 25 normal) 200 pernas (25 fast + 25 easy) 2x100 Estilos progressivo nos 100 4x25 FAST / 2' RI 300 @ Zn3 com 25m race pace em cada 100 100 easy",0.5,1500.0
2026-10-16,Pre Race Bike,bike,30' a rolar com 4 a 6 acelarações,0.5,
2026-10-16,Pre-race Run,run,,0.25,
2026-10-17,IronMan 70.3 Cascais,race,Prova: 1.9km natacao + 90km bike + 21.1km corrida.,,
2026-10-18,Recovery Day,rest,"Recuperacao pos-prova: pernas para cima, hidratar, sem treino.",,
2026-10-18,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-10-19,Caminhada + Mobilidade,mobility,Caminhada leve 20-30' + mobilidade articular suave.,0.5,
2026-10-20,Swim muito leve,swim,"Nadar solto sem intensidade, foco em soltar os ombros.",0.4,
2026-10-21,Recovery Day,rest,Descanso total.,,
2026-10-22,Zn1 - Bike regenerativa,bike,"Rolar muito facil em Zn1, percurso plano.",0.75,
2026-10-23,Mobilidade / Rolo de espuma,mobility,Rolo de espuma + alongamentos 20-25'.,0.4,
2026-10-24,AE1 - Run muito leve,run,"Corrida muito leve em Zn1, piso macio, sem pressa nenhuma.",0.4,
2026-10-25,Zn1/2 - Bike facil,bike,"Rolar facil Zn1/Zn2, percurso plano.",1.0,
2026-10-25,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-10-26,Swim tecnica,swim,"Foco 100% em tecnica, sem intensidade. Drills.",0.5,
2026-10-27,Strength - retoma leve,strength,"Forca funcional leve, foco em mobilidade e core, cargas baixas.",0.75,
2026-10-28,Recovery Day,rest,Descanso.,,
2026-10-29,30' Run - Zn2,run,"Corrida facil em Zn2, piso soft.",0.5,
2026-10-30,Mobilidade / Rolo de espuma,mobility,Rolo de espuma + alongamentos 20-25'.,0.4,
2026-10-31,Base Builder (Heart Rate),bike,"Rolar Zn2, percurso plano a ondulado, minimo 50% do tempo em Zn2.",1.5,
2026-11-01,Base Builder (Heart Rate),bike,"Rolar Zn2, percurso plano a ondulado, minimo 50% do tempo em Zn2.",1.5,
2026-11-01,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-11-02,Swim Z2,swim,"Series de 100-200 em Zn2, tecnica limpa.",0.75,
2026-11-03,Treino com a PT,pt,Sessao com o personal trainer.,1.0,
2026-11-04,40' Run @Zn2,run,"Corrida em Zn2, piso soft e cadencia +88.",0.67,
2026-11-05,Base Builder (Power),bike,"Rolar Zn2, minimo 50% do tempo em zona 2 de potencia.",1.75,
2026-11-06,Mobilidade / Rolo de espuma,mobility,Rolo de espuma + alongamentos 20-25'.,0.4,
2026-11-07,50' Run - Zn2,run,Corrida em Zn2 com piso soft.,0.83,
2026-11-08,Base Builder (Heart Rate),bike,"Rolar Zn2, minimo 50% do tempo em zona 2.",1.75,
2026-11-08,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-11-09,Swim - palas,swim,Aquecimento + 20' Zn2 com palas + easy.,0.6,
2026-11-10,Strength,strength,"Forca geral, retoma de cargas normais.",0.75,
2026-11-11,Recovery Day,rest,Descanso.,,
2026-11-12,Base Builder (Power),bike,"Rolar Zn2, minimo 50% do tempo em zona 2 de potencia.",1.75,
2026-11-13,Mobilidade / Rolo de espuma,mobility,Rolo de espuma + alongamentos 20-25'.,0.4,
2026-11-14,60' Run - Zn2,run,Corrida em Zn2 com piso soft.,1.0,
2026-11-15,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-11-16,Zn1 - Regenerativo,bike,Treino regenerativo Percurso plano Zn1 - rolar fácil,0.667,
2026-11-17,25' Run @Zn2,run,"Corrida em Zn2, piso soft e cadência +88 Pulso @140",0.417,
2026-11-17,Strength,strength,,0.75,
2026-11-18,DAY OFF,rest,,,
2026-11-19,Swim Pré-epoca 1,swim,"400 snorkel + fins 200 snorkel + pull 4x50 (pernas mariposa, braços bruços) 200 pernas+400pull + 200 estilos invertidos + 200 crawl + 200 pernas + 400 pull 200 easy",0.833,2600.0
2026-11-19,Running,run,,0.75,
2026-11-20,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-11-21,Zn2,bike,Rolar Zn2 95-100rpm Manter pulso 130-140,1.0,
2026-11-22,DAY OFF,rest,,,
2026-11-22,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-11-24,Rolos 1 - Técnica,bike,"20min up to Zn2 (easy) @90rpm 10min 5x(30""SPR + 30""SPL + 1'spin easy) Pedalar redondo 22min (cadência(90/100/110/120/130/all out/130/120/110/100/90) - 30"" cada degrau e 1'30RI @90rpm) Não tirar o rabo do selim e não oscilar o tronco (speed) 10min cooldown @90rpm",1.033,
2026-11-24,Strength,strength,,0.75,
2026-11-25,DAY OFF,rest,,,
